Id_bien;No_voie;Type_de_voie;Voie;Section;No_plan;Premier_Lot;Surface_Carrez_du_1er_Lot;Nombre_de_lots;Type_local;Surface_reelle_bati;Nb_piece_principale;Nature_culture;Nature_culture_speciale;Surface_terrain;CodeComm_CodeDep
268;74;RUE;DE LA JARRY;H;12;89;50,6;1;Appartement;50;3;;;;94080
269;27;AV;PAUL DEROULEDE;I;56;22;25,14;1;Appartement;20;1;;;;94080
270;4;RUE;DE LA BRIQUETERIE;AP;734;88;64;1;Appartement;63;3;;;;95203
271;1;RUE;DES CAPUCINES;AO;909;225;45,04;1;Appartement;46;2;;;;95218
272;1;RUE;DU PAPIER COUCHE;AT;33;3;56,86;1;Appartement;57;3;;;;95218
273;20;RUE;DES MARECHAUX;AK;772;14;77,71;1;Appartement;77;4;;;;95500
274;76;RUE;GEORGE SAND;BA;28;28;61,05;1;Appartement;61;3;;;;95572
275;9003;PL;DE L HORLOGE;AS;456;7;105,71;1;Appartement;119;4;;;;04209
276;17;RUE;DE VERDUN;AB;754;306;30,09;1;Appartement;30;2;;;;14079
277;6412;CHE;DE BOIS LURETTE;AR;90;287;30,38;1;Appartement;30;2;;;;14754
278;10;RUE;FERRI III;BV;19;23;47,04;1;Appartement;46;2;;;;54395
279;29;RTE;DE CUSIN;A;138;22;63,14;2;Appartement;62;3;;;;74256
280;5;RUE;DU ROCHER;D;695;25;45,61;2;Appartement;49;2;;;;77014
281;12;RUE;MARTIN BLEU DIEU;XY;121;314;34,99;1;Appartement;35;1;;;;80021
282;7;AV;DU DOCTEUR ROUANET;CR;308;100;67,19;2;Appartement;67;4;;;;82112
283;9;RUE;DE LA JUIVERIE;AN;261;2;31,49;1;Appartement;36;1;;;;91223
